,Obraz,Średni odcień szarości,Kontrast,r_mean,g_mean,b_mean,r_std,g_std,b_std,area,perimeter,width,height,aspect_ratio,circularity,saturation_mean,brightness_mean,entropy,image_index,haralick_contrast_mean,haralick_contrast_std,haralick_dissimilarity_mean,haralick_dissimilarity_std,haralick_homogeneity_mean,haralick_homogeneity_std,haralick_energy_mean,haralick_energy_std,haralick_correlation_mean,haralick_correlation_std,haralick_ASM_mean,haralick_ASM_std,gabor_mean_s0_o0,gabor_var_s0_o0,gabor_energy_s0_o0,gabor_max_s0_o0,gabor_min_s0_o0,gabor_mean_s0_o1,gabor_var_s0_o1,gabor_energy_s0_o1,gabor_max_s0_o1,gabor_min_s0_o1,gabor_mean_s0_o2,gabor_var_s0_o2,gabor_energy_s0_o2,gabor_max_s0_o2,gabor_min_s0_o2,gabor_mean_s0_o3,gabor_var_s0_o3,gabor_energy_s0_o3,gabor_max_s0_o3,gabor_min_s0_o3,gabor_mean_s1_o0,gabor_var_s1_o0,gabor_energy_s1_o0,gabor_max_s1_o0,gabor_min_s1_o0,gabor_mean_s1_o1,gabor_var_s1_o1,gabor_energy_s1_o1,gabor_max_s1_o1,gabor_min_s1_o1,gabor_mean_s1_o2,gabor_var_s1_o2,gabor_energy_s1_o2,gabor_max_s1_o2,gabor_min_s1_o2,gabor_mean_s1_o3,gabor_var_s1_o3,gabor_energy_s1_o3,gabor_max_s1_o3,gabor_min_s1_o3
0,Obraz 1,40.67,254.33,43.36980277777778,41.497436111111114,37.15754444444445,89.26919683876898,85.532594171162,76.68251355624422,69052.5,1083.8792860507965,208,419,0.4964200477326969,0.738630841056228,11.15,43.4,3.8789380778856937,0,0.9454486811497129,0.3300861615478826,0.13230044121244733,0.031703901521483176,0.9627265516185137,0.006600075729514959,0.7574987997951521,0.0007177684440499953,0.9963575000925168,0.0012704958650806872,0.5738049468826353,0.0010877255973471968,1.1227663226150715,4.2567837483801565,1608870.3301795567,10.692131446329213,-4.965513742820011,1.1386662570949222,4.224525210090755,1609948.6936780412,8.051443003202413,-4.040024647530545,1.1227663226150706,4.041099179096829,1545976.709776538,7.269160775698207,-3.6063915401630364,1.1386662570949222,4.205161599402472,1604302.2648013374,8.323743434967911,-3.9072594678732413,5.843429757712128,109.55600998884094,41903410.273540854,28.99464338338108,-0.7680746201463423,5.846947528781211,108.97288490311101,41745362.77764709,28.776954061209846,-0.4178630448053761,5.843429757712127,108.1828674425401,41503001.90703952,28.735932895290322,-0.6798851389426122,5.846947528781211,108.86737833340665,41714597.0619213,28.752693420639627,-0.2731876118080837
1,Obraz 2,41.79,252.67,45.06857222222222,42.180416666666666,38.13346111111111,87.31645764475398,82.19995066127034,74.13741254003824,77158.0,1185.9452992677689,240,447,0.5369127516778524,0.6893844924428959,13.74,45.1,4.478305512904554,1,0.9062791502163352,0.33029927666388664,0.16962228586267786,0.04184788084343004,0.9466695969184776,0.009546360014251808,0.7279358723981189,0.0007080145088285069,0.9962311556996014,0.001372423122397509,0.5298911356085552,0.0010310439567860201,1.1504674536197683,3.9450006621551617,1536316.768596509,7.5198503372602294,-3.572788639483918,1.1667596746859914,3.9660021393606457,1553449.5090163962,7.431181118760292,-3.627657626565661,1.1504674536197677,3.7311337727906704,1473953.1836578227,7.200995551777659,-3.8501811785918805,1.1667596746859918,3.862336098526212,1523220.4915090755,5.841446121602787,-2.5741586236316274,5.987600107298419,101.72805346791112,40118155.52234157,28.61464121504414,-0.6416438377688787,5.991204669568188,101.4436643080238,40047818.44951812,28.631743326507426,-0.3425932699331456,5.987600107298418,100.18209583106662,39667354.275437705,28.493828315023773,-0.5507424774474649,5.991204669568188,100.58309217811117,39796875.6164356,28.483268401086736,-0.13893336361465058
2,Obraz 3,47.37,254.33,50.20526388888889,48.10706388888889,43.81041388888889,93.8288891343192,90.26023565281376,82.49904938102705,81464.0,1247.1168736219406,239,446,0.5358744394618834,0.6582051623142491,11.31,50.27,4.497613508982724,2,0.9088069588135834,0.29202302446976935,0.15271413413475404,0.032538179399618186,0.9531471675680894,0.00748405834570727,0.714533861736537,0.0007698246086031838,0.9968207288583736,0.0010204770633220482,0.5105592321980567,0.0011005051595065474,1.3034809236164193,4.653362378885058,1852367.099999309,7.278159739195282,-4.127343228939311,1.321940028475358,4.673682985929984,1872424.3766761746,7.901807350623178,-3.7771709573314602,1.3034809236164184,4.448710410034353,1792690.585882443,7.992582411849966,-4.289793701430252,1.321940028475358,4.6147101785627,1855227.9060478746,8.595553462601629,-4.10609372596662,6.783957680463501,120.83635888573579,48655921.30696979,28.962401918864625,-0.6577986291985407,6.788041653584032,120.38736531848065,48541157.49438386,28.792840767327736,-0.41603475789631716,6.7839576804635,119.26345960934042,48197263.87797289,28.741021300619888,-0.6168780147602315,6.788041653584033,119.82714093032133,48377796.0627966,28.780888462607713,-0.42169817301814644
3,Obraz 4,46.79,255.0,49.12195277777778,46.83380555555556,44.40548888888889,89.56583613476732,85.50255435733402,81.28046810536745,83771.0,1186.6315919160843,248,450,0.5511111111111111,0.7476042315478109,9.65,49.15,4.4932915048371775,3,1.324721079001491,0.44470557376929754,0.19381287793691682,0.03908743030782063,0.9387271438185791,0.00929623540870676,0.7061601998310549,0.0008126167755125517,0.9948755605900912,0.0017186751195594754,0.4986628881714592,0.0011480202438493559,1.276611025401382,4.285005670234224,1724738.5865277287,11.710920158116268,-5.291226744136134,1.2946896150876674,4.191961367398585,1711162.0364830901,9.003893258610503,-4.244209566696675,1.2766110254013814,4.048469552322748,1655764.6545447416,10.624465358503613,-5.043813460045157,1.294689615087667,4.217600516974677,1718638.4124994783,10.01850856022319,-4.317629984329091,6.644113476327823,108.98202024722055,44651618.62134072,28.378161670356388,-0.9279063062726668,6.648113262606743,108.1222850551565,44416423.064217374,28.347410652916018,-0.48862782415178435,6.6441134763278225,107.58222688344061,44243438.87646248,28.26213121488662,-0.951311277975078,6.648113262606743,108.39626710599569,44496316.23024209,28.838038538543056,-0.45135043096576516
4,Obraz 5,42.11,255.0,43.58071388888889,43.11102777777778,39.639519444444446,91.72317489623828,90.9548864398005,83.6607064669361,66616.0,1091.4356342554092,205,420,0.4880952380952381,0.7027359279649574,7.89,43.68,3.456015733604512,4,0.9220133573565847,0.3358221760966525,0.12638123182782587,0.03157261380888969,0.9658084785300429,0.006184663727716723,0.7703141367086259,0.0006246709376782407,0.9968159978299724,0.0011586450979427327,0.5933842594269361,0.0009626849706545886,1.1579517004624822,4.754471219569024,1777396.2918264405,8.679499597498516,-4.57866855856354,1.174349908885142,4.673806040615485,1765026.7332416498,8.441651066817855,-3.9739372897066434,1.1579517004624813,4.502457292645832,1703909.030735637,7.865445390218263,-3.9647224773779683,1.174349908885142,4.721757831335815,1779009.4754156978,8.555310435148828,-3.8363376235247024,6.026551819541544,122.49388184439023,46309931.650507644,28.94191481719168,-0.7510764506337326,6.030179830917763,121.37989811034608,45997849.14907619,28.977880933204638,-0.234872152884023,6.026551819541544,120.69671220812349,45785876.98457226,28.953605567188838,-0.7345775625188381,6.030179830917764,121.81163104895768,46123742.47397534,28.96222400064218,-0.4291054830221689
5,Obraz 6,41.16,254.67,43.665727777777775,41.723194444444445,38.10031111111111,83.4308873384519,79.80436708891432,73.0645031911521,77516.0,1204.4305824041367,227,483,0.4699792960662526,0.6714870929539544,9.88,43.74,4.139086450942682,5,0.9709822022172923,0.362984891958808,0.13927963963081874,0.03315641180898591,0.9584547546423883,0.007647880538903448,0.72896487746466,0.0008944210012747597,0.9956689533000193,0.001617993765245,0.5313905925659944,0.001304641578751148,1.131824936518096,3.725280178215902,1459839.3734748517,9.699428780298977,-5.003389920392445,1.147853153584123,3.6818243372653368,1457822.4737620554,7.89149271937642,-3.7596689361765336,1.1318249365180955,3.4681962985875145,1384873.7141752131,6.172741824192345,-3.274594365928479,1.147853153584123,3.62718401901663,1441889.3569607325,7.881750098390536,-3.5999946395232123,5.890575252708157,94.96818762900492,37810915.98977749,28.912240066345134,-0.9370697566537517,5.894121405577863,94.32815612390101,37636468.864829876,28.232691831259363,-0.3251063544813447,5.890575252708156,93.17715476412623,37288650.806378864,28.213988249220137,-0.5701273214600124,5.894121405577862,93.8341874114869,37492427.58828992,28.377518464712068,-0.537699459373581
6,Obraz 7,50.57,255.0,53.44904722222222,51.150980555555556,47.108475,92.99734810097779,89.48001401234592,81.90171167222967,91611.5,1317.9036712646484,248,475,0.5221052631578947,0.6628152965101092,11.81,53.57,5.159439641376365,6,1.3506934954788095,0.4663233061688101,0.22238107795356607,0.046430929851617446,0.9343548600025402,0.009184518141877164,0.6791559241210543,0.0009800349871908784,0.995133101228354,0.0016786462576707242,0.46125372973729933,0.001331705789889786,1.3879622254942585,4.603923821808419,1904253.8394880756,8.805862248299848,-4.403978637384181,1.407617703220439,4.566651337237778,1909408.1536376872,9.714261533408958,-4.667725821457283,1.3879622254942574,4.335224547913004,1825901.1312201722,8.094961284231092,-4.021548746121807,1.407617703220439,4.450844830746888,1875638.9763449435,8.518755188788981,-3.6291776701106526,7.223640046615546,116.7036865070073,49246767.44796991,29.063090057502716,-0.87251958401598,7.22798871050355,116.18995518496733,49115289.07697351,28.79025217104756,-0.5643217552218344,7.223640046615546,114.88919267484964,48717661.04651274,28.726000328931885,-0.6536566630107364,7.227988710503552,115.28030778983037,48850035.89655158,28.7675971072909,-0.3444291975164407
7,Obraz 8,42.42,255.0,45.02863888888889,42.13603055555556,40.089933333333335,86.8717811990921,81.46278866669508,77.38231940462886,76561.5,1125.3940056562424,224,419,0.5346062052505967,0.7596457325463236,9.74,45.08,4.185397833429757,7,0.8575982204129563,0.2601892308095492,0.14574713283300583,0.03106367920834824,0.9536187322436404,0.007815157665653613,0.7327036395957971,0.0008405976991760538,0.9964109398363954,0.001087377685980515,0.5368553300814196,0.0012322377938952787,1.1555088050725215,3.905989734956673,1528331.101265163,7.769814907227649,-4.138145281731743,1.1718724186949463,3.887891229953117,1534158.9786518496,8.651932190054456,-4.21802771204963,1.1555088050725209,3.749578021285639,1482721.445558689,7.824985040012265,-4.268985462067965,1.1718724186949463,3.879989814622642,1531854.9259414827,6.855097464930782,-3.4340749310242518,6.013837786951554,101.01697487169899,40002626.8935241,28.756365951505895,-0.697558955424422,6.01745814442281,100.38882792478336,39832160.63766396,28.867809361535382,-0.4864414397355848,6.0138377869515525,99.80628002140213,39649588.27517752,28.781379861443774,-0.7539308359386531,6.01745814442281,100.42062402626514,39841432.380856045,28.520796954600836,-0.25404946512026694
8,Obraz 9,59.33,254.67,62.20756388888889,59.722522222222224,56.05114722222222,101.85660829491202,97.89799373993861,91.86607388575982,98041.0,1284.229572892189,261,492,0.5304878048780488,0.7470200584267146,10.69,62.24,5.103679893728104,8,1.0597898290516874,0.3235420396380681,0.14878043494529014,0.02897868850051321,0.9569338240856057,0.006146987727232479,0.660951537521914,0.0009727768222365721,0.9967997845454363,0.0009760483317965866,0.43685788124732805,0.0012864604573002618,1.6224793574758434,5.386519117960745,2338328.264598265,8.39790135702057,-4.5649406734558315,1.645455924335001,5.377963546403319,2357728.5181389493,10.070687657692412,-4.848003437946807,1.6224793574758423,5.167350308228141,2274418.6396802366,8.421052672177426,-4.365438544934318,1.6454559243350013,5.382649670470516,2359094.9919169433,7.244008343832473,-3.3804654882244396,8.44418287918171,139.88927297446637,61584023.862698704,28.742607700014783,-0.8851604041459403,8.449266315359793,139.01885256373666,61355250.937297575,28.742150847425815,-0.5349251275616544,8.44418287918171,138.23305899742928,61101071.86699469,28.743377022288225,-0.7686664758758855,8.449266315359793,139.20374879945834,61409166.67963402,28.76746459294706,-0.2891732823427151
9,Obraz 10,49.04,254.67,52.78732222222222,49.03109722222222,45.30023055555556,96.39942756484348,89.8160636904761,83.10242955368165,83696.0,1228.8326016664505,242,433,0.558891454965358,0.6965128238328963,13.23,52.81,4.85287354466838,9,0.9911965884534114,0.3216127699871289,0.1652222915740007,0.04088993143764704,0.9483788700700393,0.011066452627479989,0.7077153588470919,0.0009897612864136233,0.9965636520701482,0.0011138453109209936,0.5008620087754722,0.0014017029823981742,1.343548190094697,4.718689048001655,1902343.2255208069,8.626017199818252,-4.404633621584046,1.3625747032370508,4.688773626469891,1908633.8135451088,7.996957159902596,-3.9092055614742005,1.3435481900946962,4.4929009380379155,1836503.4126553794,7.441533332244676,-3.7242923497100366,1.3625747032370508,4.674313303392878,1904417.1833358516,7.627272882866502,-3.6924780496163034,6.992487498764453,121.77271572444072,49766671.3274289,28.98707221412248,-0.7551641297517703,6.9966970077761115,121.028291548492,49566768.86137079,28.922560478951734,-0.24948629812197817,6.992487498764453,120.14215413355609,49291199.56752694,28.88818146412129,-0.6348340971872378,6.9966970077761115,120.89917919499781,49529119.69909188,28.932647359757983,-0.4446847635801221
